iter	Logloss
0	0.6863311474
1	0.6811156751
2	0.6752969886
3	0.6697432486
4	0.6641756728
5	0.6576655421
6	0.6521869946
7	0.6465564602
8	0.6407595092
9	0.6357725616
10	0.6299941044
11	0.6240480108
12	0.619609505
13	0.6148713714
14	0.6092625208
15	0.6046763624
16	0.6012725034
17	0.5958120709
18	0.5903242931
19	0.5866024686
20	0.583139107
21	0.5787380774
22	0.5749015279
23	0.5703197902
24	0.5662368232
25	0.5628682418
26	0.5589082483
27	0.5543910266
28	0.5503864627
29	0.5470574219
30	0.5441266973
31	0.5396280301
32	0.5356241735
33	0.5315396053
34	0.5279847247
35	0.5248379474
36	0.5223886135
37	0.5198268648
38	0.5167430304
39	0.5138832829
40	0.5101492789
41	0.5066101518
42	0.5033714435
43	0.5005897347
44	0.4980702581
45	0.4959251646
46	0.4933985989
47	0.4906194703
48	0.4878358781
49	0.4850754219
50	0.4825926287
51	0.4798297175
52	0.4776108214
53	0.4754405536
54	0.4733501148
55	0.4706075838
56	0.4677354814
57	0.4656739287
58	0.463741272
59	0.4615247905
60	0.4599758937
61	0.4583984741
62	0.4567064075
63	0.4540941189
64	0.4529822776
65	0.4512090245
66	0.4486739259
67	0.446786599
68	0.4449613546
69	0.4426120342
70	0.4401612065
71	0.4380697267
72	0.4367152923
73	0.4353222919
74	0.4339942829
75	0.4315640778
76	0.4298680642
77	0.4285275702
78	0.4265790676
79	0.424402342
80	0.4228360807
81	0.4214211267
82	0.4200602009
83	0.4184320297
84	0.4167985864
85	0.4156403956
86	0.4140655967
87	0.4124222532
88	0.4107327937
89	0.4090921523
90	0.4075415256
91	0.406239897
92	0.4044658258
93	0.4030178801
94	0.4012033479
95	0.3994677336
96	0.3983236217
97	0.3969830456
98	0.3955620118
99	0.3946122472
100	0.3932344888
101	0.3920745709
102	0.3911707317
103	0.3895751964
104	0.3880976342
105	0.3867508188
106	0.3855281099
107	0.3841014772
108	0.3829276089
109	0.3818795303
110	0.380966717
111	0.3790017382
112	0.3774332803
113	0.3762372364
114	0.3750417681
115	0.3735203725
116	0.3727670619
117	0.3713847008
118	0.3705588171
119	0.3694386194
120	0.3687438197
121	0.3679428981
122	0.3666191947
123	0.3654786768
124	0.3643185184
125	0.3636194507
126	0.3625184005
127	0.3609777469
128	0.3595978871
129	0.358370151
130	0.356922461
131	0.3558534404
132	0.3548311336
133	0.3533459526
134	0.35242392
135	0.3517958254
136	0.3504984085
137	0.3497338579
138	0.3488642257
139	0.3482263941
140	0.3470773053
141	0.3458237271
142	0.3445470051
143	0.343637692
144	0.3426585697
145	0.3417233272
146	0.3407540777
147	0.3397797724
148	0.3390128281
149	0.3381272517
150	0.3374740143
151	0.336549982
152	0.3358489745
153	0.3346096017
154	0.3335622371
155	0.33304354
156	0.332384332
157	0.3312171708
158	0.3299437206
159	0.3286515644
160	0.327588477
161	0.3266738575
162	0.3258984858
163	0.3249132595
164	0.3241480276
165	0.3237403732
166	0.3228216945
167	0.3218087792
168	0.3209179412
169	0.3200101239
170	0.3188983879
171	0.3178641708
172	0.3172455335
173	0.3166260554
174	0.3157320307
175	0.3149761627
176	0.3142430054
177	0.3138262944
178	0.3133229228
179	0.3124656864
180	0.3114844206
181	0.3109798761
182	0.3105137228
183	0.3094123463
184	0.3087045338
185	0.3079422931
186	0.3071831061
187	0.3061123047
188	0.3054302237
189	0.3048046108
190	0.3042240623
191	0.3036602507
192	0.3028507261
193	0.3019732824
194	0.3009586414
195	0.3001834477
196	0.2999265676
197	0.2993810478
198	0.2986292989
199	0.2980043931
