iter	RMSE
0	437.2774688
1	429.8905193
2	422.2712517
3	415.1579887
4	409.0935846
5	401.9072196
6	395.3719714
7	388.4320886
8	382.5042109
9	376.7548643
10	370.5312211
11	365.0664542
12	359.2498965
13	354.3897426
14	349.614273
15	344.5551467
16	339.3995419
17	334.4777087
18	330.3274958
19	325.6667735
20	321.1434579
21	316.8687745
22	312.3544144
23	307.7642255
24	304.085369
25	300.7591383
26	296.4509915
27	292.5132342
28	288.9891393
29	285.2362563
30	282.1361106
31	278.8800377
32	276.0576547
33	273.0493821
34	269.962426
35	266.6112079
36	263.4688868
37	260.4850072
38	257.6575966
39	254.5388132
40	251.7818905
41	249.0392633
42	246.6609589
43	243.8549652
44	241.1332357
45	238.3664807
46	235.610797
47	233.7497623
48	231.1258439
49	229.1430209
50	227.3843199
51	225.6195969
52	223.4772731
53	221.4534352
54	219.4837521
55	217.4303736
56	216.0146266
57	214.2850929
58	212.5939378
59	210.6632431
60	209.2467692
61	207.8324995
62	206.6145014
63	204.7952864
64	203.1752805
65	201.6160126
66	200.2166389
67	198.7941093
68	197.1683843
69	195.1421465
70	193.6121838
71	192.2886169
72	190.8232331
73	189.2794995
74	187.5490012
75	185.9988854
76	184.8682989
77	183.5807249
78	182.3597902
79	180.8206407
80	179.6363959
81	178.4784047
82	177.3702042
83	176.0561238
84	174.6450825
85	173.5499113
86	172.7878929
87	171.7425202
88	170.3958028
89	169.2514708
90	168.0955622
91	167.0044934
92	166.0405253
93	164.8564718
94	163.7586706
95	162.497388
96	161.3154947
97	160.2138873
98	159.5190023
99	158.5091131
100	157.5469217
101	156.4312105
102	155.593717
103	154.5928456
104	153.7127489
105	152.9065888
106	151.4396881
107	150.5441273
108	149.685604
109	148.8626881
110	148.203339
111	147.4283612
112	146.6301529
113	145.8235333
114	145.1638265
115	144.3628484
116	143.62151
117	142.8668789
118	142.079016
119	141.4249322
120	140.460603
121	139.6417497
122	138.8389158
123	138.2762696
124	137.6700759
125	136.9384718
126	136.1025249
127	135.433398
128	135.2249354
129	134.5810312
130	133.9485824
131	133.4350249
132	132.8457633
133	132.0316048
134	131.6486361
135	131.0917671
136	130.0855758
137	129.4908152
138	128.9834558
139	128.5301087
140	127.8097391
141	127.143467
142	126.4871454
143	125.8363318
144	125.1261458
145	124.7189976
146	123.9018861
147	123.2350407
148	122.6286383
149	122.1146798
150	121.7752392
151	121.3349451
152	121.0718727
153	120.4584157
154	119.852007
155	119.5071745
156	118.8523558
157	118.2873577
158	117.4202593
159	116.9703519
160	116.5031766
161	115.969582
162	115.5483531
163	115.156217
164	114.3577382
165	113.6780484
166	113.2186848
167	112.5831536
168	112.0969226
169	111.7989292
170	111.3476799
171	111.1066635
172	110.530613
173	110.2115134
174	109.7504306
175	109.2180361
176	108.5177997
177	108.1312558
178	107.5791251
179	107.3129534
180	106.671416
181	106.0556268
182	105.2825872
183	104.671976
184	104.2983314
185	103.617575
186	103.3777485
187	103.0689823
188	102.6125989
189	101.9892437
190	101.8264625
191	101.1557795
192	100.5057786
193	100.2533168
194	99.83663425
195	98.8768736
196	98.67951298
197	98.4307851
198	97.99295078
199	97.63223665
200	97.26946694
201	96.81702004
202	96.59078341
203	96.07416197
204	95.7431404
205	95.38881235
206	95.07860818
207	94.75253794
208	94.43677719
209	94.02036766
210	93.58987997
211	93.39522078
212	92.95392046
213	92.58890484
214	91.99211441
215	91.56491933
216	91.19950128
217	90.97803329
218	90.52256191
219	90.35148414
220	89.83134067
221	89.70832377
222	89.34934357
223	88.86224258
224	88.4564165
225	88.10201652
226	87.5003024
227	87.16508724
228	86.87590129
229	86.65443622
230	86.34520258
231	86.18062691
232	85.71429244
233	85.43081211
234	84.80380731
235	84.54879223
236	84.10817242
237	83.39226478
238	83.01475483
239	82.49519617
240	82.2641733
241	81.76277428
242	81.29154895
243	80.93879689
244	80.74512966
245	80.37659066
246	79.90982122
247	79.49127606
248	79.09789611
249	78.63673007
250	78.35349775
251	78.08066214
252	77.66977108
253	77.44286802
254	76.96467848
255	76.55451785
256	76.31329173
257	75.90566616
258	75.74041999
259	75.40215912
260	75.17962113
261	74.68487313
262	74.48451115
263	74.22673165
264	73.96924833
265	73.44392123
266	73.16201826
267	72.80259434
268	72.65223241
269	72.11460721
270	71.88242336
271	71.58441749
272	71.17215083
273	70.67265374
274	70.27851031
275	69.92473947
276	69.56818
277	69.18297147
278	69.01614103
279	68.65963859
280	68.26031633
281	67.81600941
282	67.41324666
283	67.25331745
284	67.06375192
285	66.50947558
286	66.19930651
287	65.83856566
288	65.43149757
289	65.11238223
290	64.74644684
291	64.51938111
292	64.16825298
293	63.88363834
294	63.53778256
295	63.24435921
296	63.00928014
297	62.90301513
298	62.7423832
299	62.53102011
300	62.19359849
301	61.86217046
302	61.37954243
303	61.20328438
304	60.93844648
305	60.65039942
306	60.5010563
307	60.26682344
308	59.81621761
